transaction_id,transaction_at,business_date,processor,venue_area,terminal_id,reference_id,auth_code,tender_type,transaction_type,amount,settlement_status,batch_id,source_file,discrepancy_count,discrepancy_types,recommended_actions
txn-00001,2026-04-03 17:00:00,2026-04-03,Amazon JWO,JWO-STORE-1,GATE-A1,AMZ-TRX-301970,,AMAZON,SALE,55.55,SETTLED,AMZ-LOC-1,amazon_jwo_settlement.csv,0,,
txn-00002,2026-04-03 17:00:00,2026-04-03,Amazon JWO,JWO-STORE-1,GATE-A1,AMZ-TRX-302130,,AMAZON,SALE,41.17,SETTLED,AMZ-LOC-1,amazon_jwo_settlement.csv,0,,
txn-00003,2026-04-03 17:00:00,2026-04-03,Amazon JWO,JWO-STORE-1,GATE-A1,AMZ-TRX-302173,,AMAZON,SALE,34.3,SETTLED,AMZ-LOC-1,amazon_jwo_settlement.csv,0,,
txn-00004,2026-04-03 17:00:00,2026-04-03,FreedomPay,VIP-SUITE-B,FP-TERM-12,REQ-FP-201755,FP76473,CARD,SALE,476.43,SETTLED,FP-STORE-A,freedompay_settlement.csv,0,,
txn-00005,2026-04-03 17:00:00,2026-04-03,FreedomPay,VIP-SUITE-B,FP-TERM-12,REQ-FP-201887,FP53447,CARD,SALE,275.77,SETTLED,FP-STORE-A,freedompay_settlement.csv,0,,
txn-00006,2026-04-03 17:00:00,2026-04-03,Shift4,SEC-114-CONCESSIONS,TERM-149,INV-S4-100949,AUTH6169,VISA,SALE,37.21,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00007,2026-04-03 17:00:00,2026-04-03,Shift4,MERCH-MAIN,TERM-148,INV-S4-105627,AUTH7960,MC,SALE,12.52,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00008,2026-04-03 17:00:00,2026-04-03,Shift4,SEC-114-CONCESSIONS,TERM-124,INV-S4-105759,AUTH8648,MC,SALE,29.79,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00009,2026-04-03 17:00:00,2026-04-03,Shift4,SEC-302-BAR,TERM-110,INV-S4-108617,AUTH4075,VISA,SALE,38.13,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00010,2026-04-03 17:00:00,2026-04-03,Tapin2,SUITE-DELIVERY,T2-KIOSK-1,T2-501020,T2REF71622,CREDIT,SALE,50.18,SETTLED,T2-BATCH-0403,tapin2_settlement.csv,0,,
